,page,count
0,BC Valga,16.0
1,Archive of Serbia,7.0
2,Prvý Slíž,8.0
3,Royal Wootton Bassett Town F.C.,12.0
4,These Things,15.0
5,Przyjaźnia,8.0
6,Harivanga,13.0
7,Omoglymmius multicarinatus,9.0
8,Ganyra josephina,9.0
9,Fat link,6.0
10,George Perris,9.0
11,Titus Crow,5.0
12,Manchester Black,11.0
13,Balgheim,10.0
14,Yazidi Black Book,14.0
15,Margaret à Barrow,13.0
16,Tuna (music),8.0
17,Providence High School (San Antonio),-1.0
18,City University of Seattle,-1.0
19,Siniša Štemberger,16.0
20,Maring Naga,13.0
21,Bobby Wyatt,16.0
22,The Circuit (2008 film),13.0
23,Ben Rhydding,14.0
24,Subi Reef,9.0
25,Kızılören,10.0
26,New York Ledger,12.0
27,Deolinda Ngulela,16.0
28,Chanter pour ceux qui sont loin de chez eux,17.0
29,Charnwood College,8.0
30,Rathen railway station,17.0
31,Archibald Hinshelwood,9.0
32,"Saint-Victor, Dordogne",13.0
33,Emerald Soup,6.0
34,Miguel Ángel Rojas,11.0
35,Tegostoma confluentalis,9.0
36,Junior Braithwaite,13.0
37,Autopista Central,12.0
38,Wieruszów County,8.0
39,Neno DaPrato,18.0
40,Permanent Record: Al in the Box,6.0
41,John Ellys (Caius),12.0
42,Maximiliano Cortázar,9.0
43,Isidro Goma y Tomas,-1.0
44,San Esteban del Valle,11.0
45,"Ascension of the Lord Cathedral, Târgu Mureș",9.0
46,Honduras national basketball team,8.0
47,Katherine Jenkins discography,10.0
48,Japan America Society of Greater Cincinnati,11.0
49,Tropicana Avenue,10.0
50,"East High School (Pueblo, Colorado)",8.0
51,52nd Street station (SEPTA Regional Rail),11.0
52,Aechmea veitchii,8.0
53,Willa Baum,17.0
54,Reformed Egyptian,18.0
55,World Mayor,-1.0
56,Kikuchi Dairoku,27.0
57,Tancrède Dumas,8.0
58,Ukhta State Technical University,7.0
59,How to Steal the World,14.0
60,St. Charles Corridor,13.0
61,Quantity surveyor,18.0
62,To a God Unknown,12.0
63,Herbert Hein,8.0
64,1965–66 DDR-Oberliga (ice hockey) season,17.0
65,USS Pledge (AM-277),18.0
66,Sam Crow (baseball),18.0
67,Beach Soccer Worldwide,16.0
68,Helpers at the nest,13.0
69,Spring Stampede (1999),18.0
70,William Henry Kimball,-1.0
71,Manzonia carboverdensis,8.0
72,Lodovico Fumicelli,8.0
73,Don Condon,-1.0
74,Judy Reeder,12.0
75,NeST (Nepalese Society in Trondheim),9.0
76,Piano Quartet (Mahler),14.0
77,Water on Mars (album),18.0
78,Amnon Marinov,15.0
79,...And the Battle Begun,15.0
80,Andy Koyama,10.0
81,List of The Carmichael Show episodes,5.0
82,Resting spore,8.0
83,Cacyreus audeoudi,9.0
84,Richarlison,16.0
85,Alexander Sladkovsky,15.0
86,Dada Lekhraj,17.0
87,Hurricane Kristy,-1.0
88,Jon Fisher,15.0
89,Andrew C. McLaughlin,-1.0
90,2011 Western Illinois Leathernecks football team,17.0
91,"Deh-e Bozorg, Isfahan",15.0
92,List of broadband providers in the United States,-1.0
93,Allan Melvin,14.0
94,The Second Wedding Night,9.0
95,Ornithodoros turicata,8.0
96,Atlético Clube Paranavaí,18.0
97,XHEOO-FM,-1.0
98,"Shooktown, New York",14.0
99,Mohd Daudsu Jamaluddin,8.0
100,Ralph Erskine (preacher),12.0
101,Anvar Bikzhanov,8.0
102,Michael Hardt,6.0
103,"Myrtle, Minnesota",10.0
104,Qezel Qayeh-ye Sofla,15.0
105,Maraveneh-ye Do,15.0
106,Guillermo Riveros,8.0
107,Pollice verso,17.0
108,Lem Davis,8.0
109,645 BC,-1.0
110,USS Pueblo,-1.0
111,Karikkakom Devi Temple,13.0
112,"Thingvalla Township, Pembina County, North Dakota",14.0
113,Unzen Ropeway,8.0
114,Vali Muhammad Khan,15.0
115,Cable Regime,13.0
116,John Hauser,13.0
117,Hreiðar Guðmundsson,19.0
118,Bengal Film Journalists' Association – Babulal Chowkhani Memorial Trophy for Best Original Story,-1.0
119,MCTV 26,10.0
120,Exponentiation by squaring,4.0
121,Salameh Hammad,14.0
122,The Islamic Society in Denmark,-1.0
123,Borbidge Ministry,8.0
124,Parry Jones,-1.0
125,William Taylour Thomson,14.0
126,Born Again (Wumpscut album),14.0
127,Bilminy,8.0
128,Llyn Gwynant,9.0
129,Laqshya Institute of Technology Sciences,13.0
130,Single Street,8.0
131,F. J. Prettyman,17.0
132,"Walnut, Iowa",8.0
133,"Big Mountain, Pennsylvania",12.0
134,"Bear Cove, Newfoundland and Labrador",-1.0
135,Koko Taylor,8.0
136,Onslow Stearns,11.0
137,Philipsburg Proclamation,5.0
138,"Goshen, Tuscarawas County, Ohio",12.0
139,Melnychenko,-1.0
140,Nyêmo Chekar monastery,11.0
141,1967 All-Pacific-8 Conference football team,18.0
142,Jinwoo SMC,11.0
143,2015 Copa de la Reina de Balonmano,14.0
144,Shooting Star (TV series),17.0
145,Zarafasaura,8.0
146,Ancient South Arabian script,25.0
147,"One, Two, Many",22.0
148,Rudebox (song),15.0
149,Alàs i Cerc,9.0
150,Italian seaplane carrier Europa,12.0
151,GSI Pontivy,-1.0
152,Fritz Strobl,16.0
153,Alfred Wells,6.0
154,Sahastra Bahu Temples,13.0
155,Linear particle accelerator,6.0
156,Flagship Food Group,-1.0
157,Echezonachukwu Nduka,10.0
158,Nantucket Blob,11.0
159,Sebastián Contreras,17.0
160,Akassato,9.0
161,"Mazraeh-ye Abbasabad, Qom",15.0
162,"Socialist Appeal (US, 1935)",9.0
163,"Sir Gilbert Heathcote, 4th Baronet",9.0
164,Dichomeris obsepta,9.0
165,Mike Maslowski,18.0
166,Dave Bernard (American football),18.0
167,Jimmy McMath,19.0
168,Adão Iturrusgarai,10.0
169,Toyosawa Dam,13.0
170,Sergei Sukasyan,8.0
171,Dipilto,9.0
172,Endre Gáll,8.0
173,Sanchonuño,11.0
174,Honda Civic (third generation),11.0
175,Scoparia melanoxantha,9.0
176,José María Ortiz de Mendíbil,17.0
177,Blanchewater Station,7.0
178,"Chapayevo, Kazakhstan",13.0
179,New York City Police Department Medal for Valor,24.0
180,Bjørn Westergaard,13.0
181,List of cold soups,12.0
182,Deep Space Nine (fictional space station),10.0
183,"Switch Communications, Inc.",-1.0
184,Shinas College of Technology,9.0
185,Bratislav Punoševac,8.0
186,2017 MFF Charity Cup,17.0
187,American robotics,8.0
188,Weil–Brezin Map,4.0
189,Happy Birthday Oscar Wilde,12.0
190,Synodontis polyodon,8.0
191,Pleasant Island (Alaska),14.0
192,Milton Keynes North East (UK Parliament constituency),7.0
193,American Shaolin,14.0
194,Nithin Sathya,12.0
195,Andre Drummond,16.0
196,Thai Institute of Chemical Engineering and Applied Chemistry,6.0
197,Dowa Holdings,8.0
198,Assaye,14.0
199,William Ward Burrows I,12.0
200,List of postal codes in Belgium,13.0
201,Kate Wolf,9.0
202,HSBRA,11.0
203,SS Wairuna,9.0
204,Sulzberg (Lower Bavaria),15.0
205,Bundesautobahn 661,14.0
206,Ethel Jewett,-1.0
207,Luossavaara,22.0
208,George Galloway (cricketer),17.0
209,Vallée de Mai,13.0
210,3B Junior,6.0
211,1969 in Turkey,-1.0
212,MHEG-5,16.0
213,Cristian Galano,16.0
214,1985 Air Force Falcons football team,13.0
215,Yadikparou,10.0
216,Indians in Kenya,8.0
217,Ludovico Technique LLC,17.0
218,Shinbashi,11.0
219,"Murphy Lake (Gowan, St. Louis County, Minnesota)",9.0
220,Eremitis,7.0
221,Elizabeth Etienne,13.0
222,Maranthes,10.0
223,Natalya Andrejchenko,11.0
224,"Kenmore (Fredericksburg, Virginia)",13.0
225,Column of Arcadius,22.0
226,"Plainsboro Township, New Jersey",8.0
227,Jean-Yves Blondeau,13.0
228,Alexei Borisov,-1.0
229,1981 UCLA Bruins football team,18.0
230,Battle Hill Farm Forest Park,8.0
231,Timia carbonaria,12.0
232,Edward Bartley (cricketer),17.0
233,Nigel Paul (cricketer),17.0
234,Sun Mengxin,16.0
235,Dragonlance: Dragons of Autumn Twilight,10.0
236,"Tumul, Khangalassky District, Sakha Republic",8.0
237,"Bellfountain, Indiana",12.0
238,Siccia pustulata,9.0
239,Diameter (protocol),-1.0
240,Teresa Southwick,14.0
241,I Love Chile News,16.0
242,Maidhc Ó Flaithearta,16.0
243,Ngangla Gewog,11.0
244,National Advisory Committee on Institutional Quality and Integrity,13.0
245,"Rezaabad, Semnan",15.0
246,Mystacernis alphesta,9.0
247,Chitrakar,12.0
248,Miguel Torga,9.0
249,1970 Japanese Regional Leagues,17.0
250,Polvo Chicago,13.0
251,Asperdaphne perplexa,8.0
252,Mac & Cheese 3,-1.0
253,Franciscus Irenicus,11.0
254,"Paul Laurence Dunbar High School (Fort Worth, Texas)",10.0
255,Foochow Romanized,17.0
256,Uterine horns,13.0
257,Heather Forster Smith,16.0
258,2016 NHL Entry Draft,18.0
259,Pakistan at the 2016 South Asian Games,8.0
260,Arthrobacter alkaliphilus,10.0
261,"Piekary, Oława County",8.0
262,1829 in music,14.0
263,Joe Williams (fullback),18.0
264,Pforzen buckle,11.0
265,Marketing agreements,10.0
266,Science and technology in Algeria,8.0
267,Ascou,13.0
268,Mojahed Abdullah,8.0
269,Ola Jonsson,14.0
270,.mu,8.0
271,"Solomon, ex-Lambert Stradivarius",12.0
272,Stan Tatkin,6.0
273,Double heterostructure,11.0
274,Makkah Chamber of Commerce and Industry,16.0
275,Zimbabweans in Botswana,8.0
276,Schoberer Rad Meßtechnik,9.0
277,"Kurihama, Yokosuka",14.0
278,1953 Milwaukee Braves season,8.0
279,Lamb–Stephens House,16.0
280,549,14.0
281,Drängarna,8.0
282,Ivan Parker,13.0
283,Vote Climate U.S. PAC,9.0
284,Maccabi Tel Aviv F.C. (women),8.0
285,Rubus burnhamii,12.0
286,"Manki, Khyber Pakhtunkhwa",9.0
287,Manhattan Boogie-Woogie,12.0
288,Miranda railway station,11.0
289,B'Nai Zion Temple,16.0
290,Hyogo Performing Arts Center,13.0
291,Petasina bielzi,8.0
292,Walter Morgan (cricketer),17.0
293,1965 in New Zealand,16.0
294,The Century Company,17.0
295,Todd D. Little,11.0
296,"Stotonic, Arizona",12.0
297,National symbols of Palestine,8.0
298,Ústrašice,10.0
299,Bewitched Love,5.0
300,"The Imperial, New Delhi",-1.0
301,Saint-Idesbald,10.0
302,Journal of Chemical Theory and Computation,6.0
303,Hermann Jaeger,-1.0
304,John C. Hyke,-1.0
305,Chinese immigration to Mexico,8.0
306,Erik Himle,9.0
307,Crassicantharus norfolkensis,8.0
308,Direct changeover,12.0
309,"List of alumni of St Edmund Hall, Oxford",-1.0
310,Portales,8.0
311,"Sang Sara, Mazandaran",15.0
312,Kenneth Kokin,14.0
313,Paul Quasten,10.0
314,Islamic Center of Orange County,-1.0
315,Italy at the 1976 Winter Olympics,8.0
316,Isedo,11.0
317,Oregon Route 250,7.0
318,Demetre,19.0
319,Electoral district of Northern Downs,9.0
320,Heterostructure barrier varactor,7.0
321,Second Sight (video game),16.0
322,Scott Lilienfeld,11.0
323,Paulinus Foster,7.0
324,John Barling,13.0
325,Reverse architecture,7.0
326,Ichime Glacier,13.0
327,Agroscope,-1.0
328,"Curley ""Boo"" Johnson",16.0
329,Bundesautobahn 12,14.0
330,Wielistowo,8.0
331,Alfred Powell (cricketer),17.0
332,Josh Lowe,17.0
333,A Bluetones Companion,10.0
334,SP-437,13.0
335,SY Telecom,-1.0
336,Korean nationalist historiography,12.0
337,Kadapa,13.0
338,The American Bridge,10.0
339,Rebecca Burns,11.0
340,Caesar II,17.0
341,Roger Schurig,16.0
342,Tiger Truck,8.0
343,Xiao Tian,19.0
344,Moorhen flea,9.0
345,Heteroscodratoxin-1,10.0
346,"Sir James Augustus Grant, 1st Baronet",9.0
347,Phillipsiidae,10.0
348,Lithuanian Space Association,7.0
349,Ernest Delahaye,16.0
350,Hyleurinus,10.0
351,Lists of curling clubs,10.0
352,Shine (Mary Black album),18.0
353,2006 Marion Mayhem season,21.0
354,Clematis morefieldii,8.0
355,Sabur-e Kuchek,15.0
356,Albertina Sisulu,10.0
357,Constantin Cantacuzino (aviator),8.0
358,Cleveland Park Stadium,14.0
359,Lean product development,11.0
360,Semisi Masirewa,14.0
361,Blended value,-1.0
362,2005 Players Championship,15.0
363,Director of the United States Secret Service,11.0
364,Louis Beicht,8.0
365,Laith Pharaon,-1.0
366,Zach Galifianakis Live at the Purple Onion,17.0
367,Order of Excellence (Jamaica),16.0
368,Governor's School of South Carolina at the College of Charleston,7.0
369,Chait,14.0
370,Torsten Löwgren,8.0
371,Cynorkis gibbosa,-1.0
372,Dionysius of Heraclea,9.0
373,ISIRI 13136,15.0
374,Hugh O'Bryant,-1.0
375,Vokesimurex hirasei,8.0
376,Peesapati Narasimha Murty,19.0
377,Alicia Vignoli,12.0
378,Peoria Automobile Club,16.0
379,Jack Stroud,18.0
380,Callum Brae,15.0
381,Westergaardodina,16.0
382,TVN (Poland),8.0
383,Marcel Pelletier (athlete),8.0
384,A Dozen Dead Roses,18.0
385,Ferdi Statzer,8.0
386,Virginia Hamilton,13.0
387,Dave Boyle,9.0
388,Max Lindig,13.0
389,2004 Florida State Seminoles football team,10.0
390,In the Looking Glass,13.0
391,Herb Conaway,16.0
392,Printer's Alley,8.0
393,Coronations in Oceania,11.0
394,List of Beyond the Boundary episodes,17.0
395,2016–17 EHF Champions League group stage,18.0
396,Savage Pampas (1945 film),23.0
397,Soccer Mania (2002 video game),20.0
398,Karate at the 2010 Asian Games – Women's kumite 61 kg,18.0
399,"Reginald Brett, 2nd Viscount Esher",14.0
400,Cen Shen,8.0
401,The Broken Place,9.0
402,"Świerkówko, Bytów County",7.0
403,Edward Lutwyche Parker,-1.0
404,Thomas Massie,6.0
405,Alex Riley,17.0
406,HMS Trial (1744),15.0
407,Kemps Bay,12.0
408,Incompatible Timesharing System,6.0
409,Lawrence Lek,12.0
410,Francis James Wylie,-1.0
411,Certers,10.0
412,Cephalosporin,21.0
413,"Requeixo, Nossa Senhora de Fátima e Nariz",14.0
414,"Barnes, Kansas",8.0
415,"Szczyty, Opole Voivodeship",8.0
416,Silver Creek (Georgia),10.0
417,Trachyjulus lankanus,13.0
418,Game of Homes,8.0
419,"Baroda School of Legal Studies, Faculty of Law, M.S. University of Baroda, Vadodara",13.0
420,Colchester Public Schools,11.0
421,Hiyya b. Ashi,15.0
422,Monochroa conspersella,9.0
423,Zadadra costalis,9.0
424,Liu Guozheng,17.0
425,Martin Donald Van Oosterhout,12.0
426,Isaac Grünewald,19.0
427,"Żelechów, Lubusz Voivodeship",8.0
428,San Diego Surf (soccer),-1.0
429,Hebeloma crustuliniforme,10.0
430,Anhelina Kalinina,14.0
431,Armageddon (Prism album),8.0
432,Puyvert,13.0
433,Christ Church St Laurence,-1.0
434,Apostolic Vicariate of Chaco Paraguayo,-1.0
435,Israel at the 2016 Winter Youth Olympics,8.0
436,Tom Knott,15.0
437,2010 WPS All-Star Game,19.0
438,Ski jumping at the 2012 Winter Youth Olympics,16.0
439,Kluyvera ascorbata,10.0
440,Bërdicë e Mesme,7.0
441,Doris Neuner,8.0
442,"Greenwich by-election, 1987",14.0
443,Pilar Montero,11.0
444,Basi,12.0
445,Treaty of Ghilajharighat,-1.0
446,1993–94 Division 1 season (Swedish ice hockey),17.0
447,Nicki Chapman,13.0
448,"Lesnoy, Russia",8.0
449,Convict Stage,5.0
450,Aracynthias,19.0
451,Norman Lloyd,10.0
452,Virtual sex,-1.0
453,5th Ranger Company (United States),16.0
454,Patrizia Lanfredini,8.0
455,Jean Sasson,14.0
456,Brian Hoyer,18.0
457,James Clement Baxter,12.0
458,824th Tank Destroyer Battalion,12.0
459,Estal,13.0
460,SS British Transport,-1.0
461,180 (2011 American film),12.0
462,Runcinated 24-cell honeycomb,6.0
463,Kazakh national-patriots,11.0
464,Convoy HX 84,13.0
465,Nachum Kaplan,8.0
466,Toyota Park,17.0
467,Estela Rodríguez,8.0
468,WLOO,9.0
469,Willi Danklmaier,8.0
470,Giselle Rosselli,14.0
471,Bangladeshi cricket team in Sri Lanka in 2016–17,9.0
472,Phylogenetic footprinting,11.0
473,Robinson Ridge,10.0
474,Georg Bochmann,15.0
475,GWR 378 Class,14.0
476,Truelove (1764),9.0
477,Miroslav Brandt,8.0
478,Chirocephalidae,8.0
479,The Green Archer (1925 serial),24.0
480,Morjim,15.0
481,"Warrens Corners, New York",14.0
482,William McKay Wright,10.0
483,Order of Dobrzyń,14.0
484,"Rookley Manor, Hampshire",10.0
485,Norwegian Electricity Industry Association,13.0
486,Van McCoy,10.0
487,Thelymitra cyanea,11.0
488,Ponparappi,14.0
489,Kemosabe (song),10.0
490,Ouo,11.0
491,Jamie Marks,12.0
492,Japanese Classic Races,11.0
493,Daniel Barber (minister),-1.0
494,"Alan Thomson (sportsman, born 1899)",18.0
495,Mikaël Cherel,-1.0
496,"Hesketh Park, Southport",16.0
497,United States Strategic Bombing Survey,9.0
498,Mammoth plate,6.0
499,Portrait of a Man with Arms Akimbo,13.0
